일시,일 미세먼지 농도(㎍/㎥)
2018-01-01,32.96296296296296
2018-01-02,40.03703703703704
2018-01-03,23.185185185185187
2018-01-04,26.423076923076923
2018-01-05,29.642857142857142
2018-01-06,28.25925925925926
2018-01-07,32.65384615384615
2018-01-08,28.25925925925926
2018-01-09,30.37037037037037
2018-01-10,21.88888888888889
2018-01-11,21.48148148148148
2018-01-12,18.444444444444443
2018-01-13,31.03846153846154
2018-01-14,38.77777777777778
2018-01-15,42.22222222222222
2018-01-16,48.65384615384615
2018-01-17,37.2962962962963
2018-01-18,68.85185185185185
2018-01-19,46.65384615384615
2018-01-20,73.22222222222223
2018-01-21,58.74074074074074
2018-01-22,41.629629629629626
2018-01-23,20.615384615384617
2018-01-24,21.62962962962963
2018-01-25,18.153846153846153
2018-01-26,21.11111111111111
2018-01-27,27.11111111111111
2018-01-28,24.115384615384617
2018-01-29,33.7037037037037
2018-01-30,32.57142857142857
2018-01-31,31.535714285714285
2018-02-01,29.5
2018-02-02,31.392857142857142
2018-02-03,28.392857142857142
2018-02-04,22.142857142857142
2018-02-05,20.615384615384617
2018-02-06,22.678571428571427
2018-02-07,24.285714285714285
2018-02-08,36.67857142857143
2018-02-09,42.25
2018-02-10,54.0
2018-02-11,40.172413793103445
2018-02-12,36.10344827586207
2018-02-13,38.07142857142857
2018-02-14,52.42857142857143
2018-02-15,36.241379310344826
2018-02-16,30.517241379310345
2018-02-17,32.0
2018-02-18,28.379310344827587
2018-02-19,44.827586206896555
2018-02-20,47.827586206896555
2018-02-21,27.703703703703702
2018-02-22,36.392857142857146
2018-02-23,59.0
2018-02-24,53.13793103448276
2018-02-25,34.06896551724138
2018-02-26,36.07142857142857
2018-02-27,50.629629629629626
2018-02-28,39.1764705882353
2018-03-01,33.592592592592595
2018-03-02,41.86206896551724
2018-03-03,35.62068965517241
2018-03-04,22.22222222222222
2018-03-05,16.75
2018-03-06,22.923076923076923
2018-03-07,23.857142857142858
2018-03-08,21.904761904761905
2018-03-09,33.714285714285715
2018-03-10,31.428571428571427
2018-03-11,44.785714285714285
2018-03-12,61.241379310344826
2018-03-13,33.82142857142857
2018-03-14,22.76
2018-03-15,18.884615384615383
2018-03-16,19.45
2018-03-17,22.25
2018-03-18,29.03448275862069
2018-03-19,20.166666666666668
2018-03-20,16.22222222222222
2018-03-21,12.631578947368421
2018-03-22,23.807692307692307
2018-03-23,39.62068965517241
2018-03-24,62.44827586206897
2018-03-25,53.5
2018-03-26,46.148148148148145
2018-03-27,56.22222222222222
2018-03-28,40.464285714285715
2018-03-29,36.55172413793103
2018-03-30,37.41379310344828
2018-03-31,45.03448275862069
2018-04-01,57.25
2018-04-02,54.32142857142857
2018-04-03,44.96153846153846
2018-04-04,19.41176470588235
2018-04-05,12.875
2018-04-06,85.73076923076923
2018-04-07,43.93103448275862
2018-04-08,32.62068965517241
2018-04-09,41.964285714285715
2018-04-10,37.964285714285715
2018-04-11,47.035714285714285
2018-04-12,35.03448275862069
2018-04-13,33.13793103448276
2018-04-14,19.083333333333332
2018-04-15,89.51724137931035
2018-04-16,39.10344827586207
2018-04-17,54.67857142857143
2018-04-18,61.7037037037037
2018-04-19,49.51724137931034
2018-04-20,67.3103448275862
2018-04-21,50.06896551724138
2018-04-22,34.214285714285715
2018-04-23,13.142857142857142
2018-04-24,11.666666666666666
2018-04-25,26.384615384615383
2018-04-26,34.17857142857143
2018-04-27,36.81481481481482
2018-04-28,42.892857142857146
2018-04-29,42.51724137931034
2018-04-30,46.48275862068966
2018-05-01,40.689655172413794
2018-05-02,23.363636363636363
2018-05-03,34.130434782608695
2018-05-04,34.77777777777778
2018-05-05,33.0
2018-05-06,15.73076923076923
2018-05-07,22.62962962962963
2018-05-08,19.46153846153846
2018-05-09,19.916666666666668
2018-05-10,28.482758620689655
2018-05-11,33.10344827586207
2018-05-12,23.041666666666668
2018-05-13,18.51851851851852
2018-05-14,41.206896551724135
2018-05-15,50.03448275862069
2018-05-16,25.166666666666668
2018-05-17,15.875
2018-05-18,15.105263157894736
2018-05-19,14.952380952380953
2018-05-20,13.85
2018-05-21,17.96153846153846
2018-05-22,22.517241379310345
2018-05-23,34.08
2018-05-24,78.20689655172414
2018-05-25,70.96551724137932
2018-05-26,52.275862068965516
2018-05-27,49.89655172413793
2018-05-28,40.48275862068966
2018-05-29,33.96296296296296
2018-05-30,30.555555555555557
2018-05-31,29.0
2018-06-01,31.20689655172414
2018-06-02,31.0
2018-06-03,30.11111111111111
2018-06-04,33.55172413793103
2018-06-05,33.827586206896555
2018-06-06,35.62068965517241
2018-06-07,38.724137931034484
2018-06-08,35.25
2018-06-09,33.0
2018-06-10,15.947368421052632
2018-06-11,13.857142857142858
2018-06-12,15.8
2018-06-13,21.807692307692307
2018-06-14,21.28
2018-06-15,19.125
2018-06-16,18.46153846153846
2018-06-17,25.24137931034483
2018-06-18,28.037037037037038
2018-06-19,28.846153846153847
2018-06-20,27.48148148148148
2018-06-21,29.178571428571427
2018-06-22,26.37037037037037
2018-06-23,29.482758620689655
2018-06-24,37.51724137931034
2018-06-25,39.57142857142857
2018-06-26,28.68
2018-06-27,17.333333333333332
2018-06-28,15.8125
2018-06-29,21.6
2018-06-30,22.652173913043477
2018-07-01,14.733333333333333
2018-07-02,13.285714285714286
2018-07-03,15.222222222222221
2018-07-04,17.85
2018-07-05,15.26086956521739
2018-07-06,10.071428571428571
2018-07-07,13.5
2018-07-08,14.136363636363637
2018-07-09,9.904761904761905
2018-07-10,20.214285714285715
2018-07-11,24.115384615384617
