일시,평균 상대습도(%)
2018-01-01,51.204210526315826
2018-01-02,57.35851063829788
2018-01-03,47.917021276595754
2018-01-04,53.73789473684216
2018-01-05,56.42421052631581
2018-01-06,55.61052631578947
2018-01-07,61.92526315789477
2018-01-08,77.41368421052634
2018-01-09,64.1042105263158
2018-01-10,64.3505263157895
2018-01-11,60.903191489361696
2018-01-12,56.99578947368424
2018-01-13,69.14468085106384
2018-01-14,72.13999999999999
2018-01-15,71.01894736842107
2018-01-16,82.77157894736843
2018-01-17,88.17553191489368
2018-01-18,71.82736842105265
2018-01-19,56.51684210526317
2018-01-20,64.48947368421054
2018-01-21,60.866315789473695
2018-01-22,65.28210526315793
2018-01-23,48.290526315789506
2018-01-24,41.97684210526318
2018-01-25,44.39157894736845
2018-01-26,46.86736842105267
2018-01-27,46.53684210526318
2018-01-28,42.64421052631581
2018-01-29,47.88631578947372
2018-01-30,56.79157894736843
2018-01-31,55.983157894736856
2018-02-01,48.99052631578951
2018-02-02,49.968421052631605
2018-02-03,52.6621052631579
2018-02-04,48.9442105263158
2018-02-05,48.53263157894738
2018-02-06,49.41684210526317
2018-02-07,49.99255319148937
2018-02-08,48.58210526315791
2018-02-09,56.00736842105265
2018-02-10,51.42315789473689
2018-02-11,52.32105263157896
2018-02-12,56.742105263157896
2018-02-13,54.09255319148938
2018-02-14,62.29578947368426
2018-02-15,45.673684210526346
2018-02-16,44.928421052631606
2018-02-17,32.84947368421054
2018-02-18,35.964210526315796
2018-02-19,47.88105263157897
2018-02-20,47.43368421052635
2018-02-21,34.50947368421053
2018-02-22,47.97340425531917
2018-02-23,65.81789473684213
2018-02-24,62.213684210526345
2018-02-25,57.93894736842107
2018-02-26,52.949473684210545
2018-02-27,59.3705263157895
2018-02-28,81.27684210526319
2018-03-01,59.348421052631615
2018-03-02,49.365263157894745
2018-03-03,58.25789473684212
2018-03-04,81.31789473684213
2018-03-05,82.12446808510641
2018-03-06,66.43157894736844
2018-03-07,72.62210526315788
2018-03-08,87.3457446808511
2018-03-09,75.28000000000003
2018-03-10,69.22872340425536
2018-03-11,63.02315789473685
2018-03-12,64.46842105263163
2018-03-13,64.30000000000001
2018-03-14,67.73157894736848
2018-03-15,91.34526315789476
2018-03-16,70.52315789473687
2018-03-17,65.74421052631584
2018-03-18,77.01052631578948
2018-03-19,85.59157894736843
2018-03-20,57.443157894736856
2018-03-21,82.85368421052635
2018-03-22,66.1842105263158
2018-03-23,63.49789473684215
2018-03-24,61.111578947368436
2018-03-25,63.27157894736844
2018-03-26,60.712631578947416
2018-03-27,61.40842105263158
2018-03-28,62.428421052631634
2018-03-29,68.08210526315794
2018-03-30,60.810526315789495
2018-03-31,58.64736842105264
2018-04-01,68.88736842105266
2018-04-02,70.47157894736846
2018-04-03,72.82315789473685
2018-04-04,86.1872340425532
2018-04-05,89.49473684210528
2018-04-06,69.78842105263155
2018-04-07,48.27894736842108
2018-04-08,58.07052631578951
2018-04-09,59.60842105263161
2018-04-10,62.13510638297877
2018-04-11,53.721052631578985
2018-04-12,40.23157894736843
2018-04-13,42.49684210526318
2018-04-14,86.39787234042551
2018-04-15,63.668421052631615
2018-04-16,62.21157894736848
2018-04-17,62.96421052631584
2018-04-18,56.280851063829815
2018-04-19,48.38617021276596
2018-04-20,52.44631578947371
2018-04-21,53.05894736842106
2018-04-22,72.78829787234044
2018-04-23,91.84736842105266
2018-04-24,83.20421052631582
2018-04-25,59.08105263157896
2018-04-26,60.70105263157897
2018-04-27,59.97765957446813
2018-04-28,61.625531914893635
2018-04-29,58.06315789473687
2018-04-30,69.10210526315792
2018-05-01,79.8378947368421
2018-05-02,89.0457446808511
2018-05-03,61.93473684210527
2018-05-04,46.41157894736845
2018-05-05,50.64631578947371
2018-05-06,92.9684210526316
2018-05-07,85.97553191489365
2018-05-08,72.70319148936171
2018-05-09,69.41157894736844
2018-05-10,71.25578947368423
2018-05-11,61.54000000000003
2018-05-12,85.7389473684211
2018-05-13,82.04148936170219
2018-05-14,71.58085106382983
2018-05-15,68.37553191489364
2018-05-16,89.38829787234046
2018-05-17,88.71935483870972
2018-05-18,91.06236559139786
2018-05-19,68.55698924731186
2018-05-20,57.76000000000003
2018-05-21,69.9442105263158
2018-05-22,79.07368421052631
2018-05-23,68.59789473684212
2018-05-24,55.989473684210544
2018-05-25,55.34736842105267
2018-05-26,63.95894736842109
2018-05-27,70.44315789473687
2018-05-28,74.94947368421056
2018-05-29,78.24315789473687
2018-05-30,79.9989473684211
2018-05-31,68.34000000000002
2018-06-01,62.890526315789515
2018-06-02,57.73894736842109
2018-06-03,58.86000000000002
2018-06-04,63.5526315789474
2018-06-05,75.04000000000003
2018-06-06,74.03263157894742
2018-06-07,73.08947368421055
2018-06-08,72.8831578947369
2018-06-09,72.26842105263161
2018-06-10,74.21263157894741
2018-06-11,81.24736842105271
2018-06-12,76.44574468085109
2018-06-13,75.24105263157897
2018-06-14,73.84210526315789
2018-06-15,67.76526315789478
2018-06-16,67.99263157894741
2018-06-17,74.46105263157897
2018-06-18,70.13894736842109
2018-06-19,81.46063829787236
2018-06-20,73.55684210526316
2018-06-21,63.78526315789476
2018-06-22,57.74000000000003
2018-06-23,61.542105263157914
2018-06-24,62.911578947368454
2018-06-25,65.02736842105267
2018-06-26,88.19052631578944
2018-06-27,84.93829787234047
2018-06-28,89.8042105263158
2018-06-29,84.6136842105263
2018-06-30,88.67419354838714
2018-07-01,92.27263157894734
2018-07-02,92.3645161290323
2018-07-03,85.6698924731183
2018-07-04,81.94086021505383
