,일시,일 미세먼지 농도(㎍/㎥)
189,2018-07-09,9.904761905
190,2018-07-10,20.21428571
191,2018-07-11,24.11538462
192,2018-07-12,20.45833333
193,2018-07-13,17.625
194,2018-07-14,19.64285714
195,2018-07-15,20.60714286
196,2018-07-16,26.11538462
197,2018-07-17,30.44
198,2018-07-18,31.56
199,2018-07-19,31.16666667
200,2018-07-20,32.64285714
201,2018-07-21,32.74074074
202,2018-07-22,26.4
203,2018-07-23,22.52
204,2018-07-24,25.72
205,2018-07-25,24.48
206,2018-07-26,28.48
207,2018-07-27,30.62962963
208,2018-07-28,27.5
209,2018-07-29,18.96
210,2018-07-30,14.04761905
211,2018-07-31,16.43478261
212,2018-08-01,21.8
213,2018-08-02,23.19230769
214,2018-08-03,24.5
215,2018-08-04,24
216,2018-08-05,20
217,2018-08-06,21.31818182
218,2018-08-07,17.1
219,2018-08-08,19
220,2018-08-09,19
221,2018-08-10,17.77777778
222,2018-08-11,14.9047619
223,2018-08-12,19
224,2018-08-13,21.66666667
225,2018-08-14,21.24
226,2018-08-15,21.90909091
227,2018-08-16,15.14285714
228,2018-08-17,14.19047619
229,2018-08-18,16.71428571
230,2018-08-19,19.4
231,2018-08-20,25.26923077
232,2018-08-21,22.39130435
233,2018-08-22,20.48
234,2018-08-23,13.04761905
235,2018-08-24,14.0625
236,2018-08-25,20.25925926
237,2018-08-26,15.14285714
238,2018-08-27,14.05555556
239,2018-08-28,13.45
240,2018-08-29,16.15
241,2018-08-30,15.72727273
242,2018-08-31,16
243,2018-09-01,17.48
244,2018-09-02,13.65217391
245,2018-09-03,14.52
246,2018-09-04,14.95833333
247,2018-09-05,19.72
248,2018-09-06,24
249,2018-09-07,22.76
250,2018-09-08,18.62962963
251,2018-09-09,18
252,2018-09-10,15.09090909
253,2018-09-11,14.84210526
254,2018-09-12,16.26086957
255,2018-09-13,17.96
256,2018-09-14,14.43478261
257,2018-09-15,14.16666667
258,2018-09-16,23.07407407
259,2018-09-17,25.72
260,2018-09-18,27.46153846
261,2018-09-19,28.76
262,2018-09-20,15.13636364
263,2018-09-21,10.84210526
264,2018-09-22,27.32
265,2018-09-23,27.34615385
266,2018-09-24,17.38461538
267,2018-09-25,14.41666667
268,2018-09-26,12.60869565
269,2018-09-27,11.8
270,2018-09-28,14.94444444
271,2018-09-29,14.96296296
272,2018-09-30,18.44
273,2018-10-01,16.19230769
274,2018-10-02,20.5
275,2018-10-03,20.62962963
276,2018-10-04,19.7037037
277,2018-10-05,10.78571429
278,2018-10-06,22.5
279,2018-10-07,23.74074074
280,2018-10-08,19.66666667
281,2018-10-09,21.27586207
282,2018-10-10,18.14814815
283,2018-10-11,15.23076923
284,2018-10-12,18.76
285,2018-10-13,21.22222222
286,2018-10-14,22.77777778
287,2018-10-15,40.44827586
288,2018-10-16,38.06896552
289,2018-10-17,26.26923077
290,2018-10-18,18
291,2018-10-19,17.31818182
292,2018-10-20,24.46428571
293,2018-10-21,27.11111111
294,2018-10-22,29.17857143
295,2018-10-23,30
296,2018-10-24,35.10714286
297,2018-10-25,32.44827586
298,2018-10-26,27.96551724
299,2018-10-27,23.44827586
300,2018-10-28,20.91304348
301,2018-10-29,17.22222222
302,2018-10-30,17.60714286
303,2018-10-31,18.07142857
304,2018-11-01,21.96296296
305,2018-11-02,28.2962963
306,2018-11-03,29.68965517
307,2018-11-04,28.93103448
308,2018-11-05,35.96551724
309,2018-11-06,48.06896552
310,2018-11-07,41.46153846
311,2018-11-08,16.84
312,2018-11-09,29.85714286
313,2018-11-10,45
314,2018-11-11,38.03448276
315,2018-11-12,24.39285714
316,2018-11-13,24
317,2018-11-14,24.23076923
318,2018-11-15,29.56
319,2018-11-16,33.46428571
320,2018-11-17,25.07407407
321,2018-11-18,25.92857143
322,2018-11-19,38.5862069
323,2018-11-20,39.17241379
324,2018-11-21,34.17857143
325,2018-11-22,19.96428571
326,2018-11-23,21.85714286
327,2018-11-24,28.38461538
328,2018-11-25,33.44827586
329,2018-11-26,38.06896552
330,2018-11-27,68.03448276
331,2018-11-28,101.7586207
332,2018-11-29,86.03448276
333,2018-11-30,69.62068966
334,2018-12-01,49.55172414
335,2018-12-02,47.37931034
336,2018-12-03,33.75862069
337,2018-12-04,32.42307692
338,2018-12-05,25.51851852
339,2018-12-06,26.44
340,2018-12-07,19.81481481
341,2018-12-08,18.25
342,2018-12-09,18.4137931
343,2018-12-10,23.65384615
344,2018-12-11,26.73076923
345,2018-12-12,29.51851852
346,2018-12-13,29.28571429
347,2018-12-14,23.81481481
348,2018-12-15,30.92592593
349,2018-12-16,31.14814815
350,2018-12-17,49.13793103
351,2018-12-18,33.32142857
352,2018-12-19,53.75
353,2018-12-20,53.75862069
354,2018-12-21,55.46428571
355,2018-12-22,53.24137931
356,2018-12-23,38.06896552
357,2018-12-24,19.72413793
358,2018-12-25,25.93103448
359,2018-12-26,34.34482759
360,2018-12-27,19.51724138
361,2018-12-28,24.71428571
362,2018-12-29,26.17241379
363,2018-12-30,22.57142857
364,2018-12-31,28.77777778
365,2019-01-01,26.21428571
366,2019-01-02,24.07407407
367,2019-01-03,24.92857143
368,2019-01-04,38.53571429
369,2019-01-05,47.34482759
370,2019-01-06,30.4137931
371,2019-01-07,38.48275862
372,2019-01-08,36.75862069
373,2019-01-09,32.92592593
374,2019-01-10,32.03448276
375,2019-01-11,54.17241379
376,2019-01-12,55.57142857
377,2019-01-13,70.4137931
378,2019-01-14,99.13793103
379,2019-01-15,87.75862069
380,2019-01-16,34.27586207
381,2019-01-17,32.31034483
382,2019-01-18,44.10714286
383,2019-01-19,57.10344828
384,2019-01-20,39.62068966
385,2019-01-21,29.27586207
386,2019-01-22,52.06896552
387,2019-01-23,58.82142857
388,2019-01-24,29.13793103
389,2019-01-25,32.89285714
390,2019-01-26,33
391,2019-01-27,27.17241379
392,2019-01-28,57.72413793
393,2019-01-29,56.17241379
394,2019-01-30,46.96551724
395,2019-01-31,45.66666667
396,2019-02-01,30.82142857
397,2019-02-02,46.37931034
398,2019-02-03,34.14814815
399,2019-02-04,67.65517241
400,2019-02-05,83.5862069
401,2019-02-06,69.27586207
402,2019-02-07,42.82142857
403,2019-02-08,22.5862069
404,2019-02-09,26.37931034
405,2019-02-10,28.5862069
406,2019-02-11,27.4137931
407,2019-02-12,46
408,2019-02-13,43.68965517
409,2019-02-14,32.37037037
410,2019-02-15,33.44827586
411,2019-02-16,43.27586207
412,2019-02-17,31.5
413,2019-02-18,28.5862069
414,2019-02-19,23.61538462
415,2019-02-20,41.86206897
416,2019-02-21,55.82142857
417,2019-02-22,52.27586207
418,2019-02-23,47.96428571
419,2019-02-24,44.20689655
420,2019-02-25,50.93103448
421,2019-02-26,43.39285714
422,2019-02-27,43.20689655
423,2019-02-28,76
424,2019-03-01,91.60714286
425,2019-03-02,77.62962963
426,2019-03-03,69.96153846
427,2019-03-04,88.88
