일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),일 미세먼지 농도(㎍/㎥),불쾌지수,열지수,체감온도
2019-04-06,10.298023715415018,2.5736633663366337,17.20930693069307,0.7600393700787402,1.704743083003953,46.5947368421053,57.21428571428572,52.72870552069898,45.31198648283753,11.584173811790055
2019-04-07,11.458199999999994,5.883366733466927,17.7250501002004,2.882086614173228,1.7435129740518958,64.98000000000002,43.42307692307692,53.66008497639999,47.6177766,12.779417822933413
2019-04-08,10.756944444444438,4.232007952286283,17.93240556660041,0.0009842519685039,2.202772277227722,48.6842105263158,34.0,53.235847039473676,46.22163157894735,11.743653115811796
2019-04-09,8.885346534653468,4.353280318091447,14.808946322067582,20.802357563850684,3.415445544554457,62.0484210526316,22.33333333333333,50.08229154005211,42.52214889650861,9.091150995591367
2019-04-10,6.742147117296229,4.231075697211151,9.694820717131472,6.617425742574257,2.5704,83.6473684210527,11.555555555555555,45.38279783310663,38.28876555540443,7.1954622714952805
2019-04-11,8.115705765407553,2.860358565737051,13.833864541832671,0.0138339920948616,1.4864271457085827,72.33578947368423,19.88888888888889,48.341558013644445,41.00309523655958,9.478033908399158
2019-04-12,9.722970297029688,3.340079365079367,16.764285714285702,0.1153846153846153,1.7914512922465218,58.98105263157896,30.785714285714285,51.41867854023969,44.17920228285562,10.913230230423594
2019-04-13,10.46118811881188,3.276785714285712,17.627579365079388,0.0,1.7019841269841258,50.41157894736846,32.48275862068966,52.785620193038035,45.63684591735278,11.758077226090812
2019-04-14,9.272924901185776,5.14376237623762,13.810693069306945,0.9086444007858546,2.407326732673268,61.36315789473689,29.89655172413793,50.66939554410236,43.28923198855837,10.028757370792238
2019-04-15,10.147430830039514,1.7548514851485155,18.35960396039604,0.0,2.1984126984126986,46.58210526315793,46.32142857142857,52.53779596134802,45.01380663295192,11.093260643109694
2019-04-16,13.097821782178222,3.671825396825396,21.88888888888887,0.024557956777996,1.7298000000000024,41.55052631578949,37.71428571428572,56.35530212794164,50.8532158760813,14.517550054348664
2019-04-17,14.112326043737584,7.243141153081507,21.64831013916503,0.3222003929273084,1.8003984063745009,50.27234042553194,34.15384615384615,57.56569003933845,52.866033566600414,15.546702728592308
2019-04-18,13.637351778656113,7.258415841584151,19.73089108910892,0.0,2.3243564356435638,65.77789473684213,28.0,56.82067526222174,51.93287213226542,14.771316616048797
